Driver,DriverNumber,Team,LapNumber,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,TrackStatus,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,PitInTime_s,PitOutTime_s
NOR,1,McLaren,1.0,231.0,252.0,274.0,90.0,SOFT,1.0,True,False,1,148.3,80.197,21.307,46.796,,1850.452
NOR,1,McLaren,2.0,251.0,282.0,269.0,276.0,SOFT,2.0,True,True,12,100.995,34.687,20.724,45.584,,
NOR,1,McLaren,3.0,276.0,277.0,180.0,275.0,SOFT,3.0,True,True,26,87.517,28.821,17.877,40.819,,
NOR,1,McLaren,4.0,175.0,263.0,198.0,110.0,SOFT,4.0,True,False,6,129.252,48.332,25.025,55.895,,
NOR,1,McLaren,5.0,216.0,255.0,,263.0,SOFT,5.0,True,False,6512,,40.239,27.328,,2428.673,
NOR,1,McLaren,6.0,250.0,282.0,278.0,149.0,SOFT,6.0,False,False,1,,93.72,20.735,40.271,,2823.369
NOR,1,McLaren,7.0,276.0,267.0,284.0,289.0,SOFT,7.0,False,True,1,81.438,28.357,18.139,34.942,,
NOR,1,McLaren,8.0,201.0,209.0,220.0,113.0,SOFT,8.0,False,False,1,116.975,41.083,25.693,50.199,,
NOR,1,McLaren,9.0,201.0,217.0,275.0,175.0,SOFT,9.0,False,False,1,115.536,38.567,25.496,51.473,,
NOR,1,McLaren,10.0,179.0,284.0,276.0,288.0,SOFT,10.0,False,False,1,95.658,36.34,20.518,38.8,,
NOR,1,McLaren,11.0,276.0,269.0,283.0,284.0,SOFT,11.0,False,True,1,81.163,28.4,17.983,34.78,,
NOR,1,McLaren,12.0,205.0,221.0,187.0,238.0,SOFT,12.0,False,False,12,112.408,39.435,25.198,47.775,,
NOR,1,McLaren,13.0,246.0,164.0,281.0,186.0,SOFT,13.0,False,False,21,105.721,35.779,24.101,45.841,,
NOR,1,McLaren,14.0,265.0,277.0,289.0,288.0,SOFT,14.0,False,False,1,81.458,28.298,17.807,35.353,,
NOR,1,McLaren,15.0,161.0,214.0,277.0,141.0,SOFT,15.0,False,False,1,110.214,39.663,24.962,45.589,,
NOR,1,McLaren,16.0,261.0,274.0,284.0,284.0,SOFT,16.0,False,True,1,81.039,28.496,17.932,34.611,,
NOR,1,McLaren,17.0,231.0,257.0,,232.0,SOFT,17.0,False,False,125,,32.35,20.925,,3997.139,
NOR,1,McLaren,18.0,256.0,269.0,277.0,185.0,SOFT,1.0,True,False,1,,,20.151,39.354,,4923.677
NOR,1,McLaren,19.0,268.0,277.0,281.0,284.0,SOFT,2.0,True,True,1,80.443,28.224,17.784,34.435,,
NOR,1,McLaren,20.0,239.0,256.0,300.0,255.0,SOFT,3.0,True,False,1,87.635,31.166,20.78,35.689,,
NOR,1,McLaren,21.0,196.0,214.0,3.0,286.0,SOFT,4.0,True,False,1,,37.383,24.431,,,
NOR,1,McLaren,22.0,264.0,257.0,,163.0,SOFT,5.0,True,False,1,,37.138,18.221,,5451.311,
VER,3,Red Bull Racing,1.0,245.0,282.0,281.0,175.0,SOFT,1.0,True,False,1,,,20.328,39.272,,2841.586
VER,3,Red Bull Racing,2.0,283.0,280.0,304.0,302.0,SOFT,2.0,True,True,1,80.979,28.38,17.776,34.823,,
VER,3,Red Bull Racing,3.0,180.0,239.0,,222.0,SOFT,3.0,True,False,1,136.003,46.401,24.626,64.976,3139.223,
VER,3,Red Bull Racing,4.0,244.0,198.0,283.0,185.0,SOFT,4.0,False,False,1,103.25,38.758,20.623,43.869,,3162.01
VER,3,Red Bull Racing,5.0,281.0,273.0,303.0,303.0,SOFT,5.0,False,True,1,80.508,28.061,17.905,34.542,,
VER,3,Red Bull Racing,6.0,193.0,266.0,313.0,214.0,SOFT,6.0,False,False,1,103.15,43.571,20.726,38.853,,
VER,3,Red Bull Racing,7.0,294.0,291.0,296.0,316.0,SOFT,7.0,False,False,12,82.062,28.356,18.281,35.425,,
VER,3,Red Bull Racing,8.0,277.0,298.0,299.0,292.0,SOFT,8.0,False,False,21,84.351,30.935,17.951,35.465,,
VER,3,Red Bull Racing,9.0,299.0,305.0,284.0,299.0,SOFT,9.0,False,False,1,81.973,28.33,17.671,35.972,,
VER,3,Red Bull Racing,10.0,296.0,290.0,295.0,285.0,SOFT,10.0,False,False,1,82.186,28.563,18.106,35.517,,
VER,3,Red Bull Racing,11.0,260.0,288.0,,,SOFT,11.0,False,False,125,,29.873,18.903,,3860.583,
VER,3,Red Bull Racing,12.0,252.0,269.0,287.0,75.0,SOFT,1.0,True,False,1,118.928,55.03,19.31,44.588,,5017.284
VER,3,Red Bull Racing,13.0,280.0,273.0,312.0,306.0,SOFT,2.0,True,True,1,80.197,27.798,17.902,34.497,,
VER,3,Red Bull Racing,14.0,182.0,242.0,119.0,234.0,SOFT,3.0,True,False,1,,41.294,23.22,,,
VER,3,Red Bull Racing,15.0,257.0,282.0,,255.0,SOFT,4.0,True,False,1,,30.688,18.307,,5464.702,
BOR,5,Audi,1.0,235.0,233.0,268.0,157.0,SOFT,1.0,True,False,1,124.999,62.469,21.053,41.477,,1720.21
BOR,5,Audi,2.0,247.0,231.0,265.0,278.0,SOFT,2.0,True,True,1,98.239,32.291,20.754,45.194,,
BOR,5,Audi,3.0,247.0,285.0,304.0,282.0,SOFT,3.0,True,True,1,82.287,29.181,17.806,35.3,,
BOR,5,Audi,4.0,129.0,228.0,268.0,249.0,SOFT,4.0,True,False,12,130.034,49.105,28.953,51.976,,
BOR,5,Audi,5.0,250.0,119.0,172.0,285.0,SOFT,5.0,True,False,26,135.482,28.806,39.516,67.16,,
BOR,5,Audi,6.0,242.0,225.0,,240.0,SOFT,6.0,True,False,6512,,33.89,20.612,,2528.743,
BOR,5,Audi,7.0,237.0,231.0,267.0,61.0,SOFT,7.0,False,False,1,120.019,57.364,20.938,41.717,,2912.228
BOR,5,Audi,8.0,248.0,232.0,283.0,270.0,SOFT,8.0,False,False,1,90.446,31.192,20.392,38.862,,
BOR,5,Audi,9.0,235.0,231.0,270.0,294.0,SOFT,9.0,False,False,1,95.592,34.874,20.48,40.238,,
BOR,5,Audi,10.0,251.0,289.0,299.0,287.0,SOFT,10.0,False,True,1,80.575,28.531,17.411,34.633,,
BOR,5,Audi,11.0,240.0,169.0,268.0,169.0,SOFT,11.0,False,False,1,127.469,37.426,31.772,58.271,,
BOR,5,Audi,12.0,248.0,282.0,,284.0,SOFT,12.0,False,False,12,,28.68,17.716,,3505.015,
BOR,5,Audi,13.0,247.0,234.0,202.0,188.0,SOFT,1.0,True,False,12,102.19,39.183,20.501,42.506,,4288.409
BOR,5,Audi,14.0,,,,153.0,SOFT,2.0,True,False,251,,,,,4546.76,
BOR,5,Audi,15.0,242.0,233.0,279.0,173.0,SOFT,3.0,False,False,1,128.955,69.333,20.585,39.037,,4957.762
BOR,5,Audi,16.0,254.0,281.0,304.0,290.0,SOFT,4.0,False,True,1,80.459,28.42,17.505,34.534,,
BOR,5,Audi,17.0,216.0,235.0,272.0,285.0,SOFT,5.0,False,False,1,111.594,43.72,21.031,46.843,,
BOR,5,Audi,18.0,237.0,221.0,194.0,208.0,SOFT,6.0,False,False,1,,35.841,21.282,,,
BOR,5,Audi,19.0,218.0,281.0,,221.0,SOFT,7.0,False,False,1,,35.91,21.039,,5521.155,
HAD,6,Red Bull Racing,1.0,235.0,286.0,279.0,110.0,SOFT,1.0,True,False,1,120.651,56.397,20.574,43.68,,2852.948
HAD,6,Red Bull Racing,2.0,264.0,286.0,314.0,299.0,SOFT,2.0,True,True,1,81.311,28.601,17.632,35.078,,
HAD,6,Red Bull Racing,3.0,222.0,242.0,246.0,220.0,SOFT,3.0,True,False,1,111.551,46.499,22.494,42.558,,
HAD,6,Red Bull Racing,4.0,222.0,227.0,278.0,236.0,SOFT,4.0,True,False,1,114.581,35.968,23.627,54.986,,
HAD,6,Red Bull Racing,5.0,266.0,276.0,302.0,304.0,SOFT,5.0,True,True,1,80.691,28.291,17.75,34.65,,
HAD,6,Red Bull Racing,6.0,176.0,217.0,312.0,236.0,SOFT,6.0,True,False,1,114.491,45.766,29.531,39.194,,
HAD,6,Red Bull Racing,7.0,260.0,303.0,295.0,319.0,SOFT,7.0,True,False,12,81.263,28.472,17.801,34.99,,
HAD,6,Red Bull Racing,8.0,248.0,294.0,311.0,295.0,SOFT,8.0,True,False,21,82.449,29.132,18.185,35.132,,
HAD,6,Red Bull Racing,9.0,252.0,300.0,315.0,315.0,SOFT,9.0,True,False,1,82.025,28.776,18.181,35.068,,
HAD,6,Red Bull Racing,10.0,243.0,282.0,310.0,322.0,SOFT,10.0,True,False,1,82.175,28.778,18.305,35.092,,
HAD,6,Red Bull Racing,11.0,261.0,288.0,,318.0,SOFT,11.0,True,False,125,,28.659,18.87,,3884.161,
HAD,6,Red Bull Racing,12.0,178.0,295.0,282.0,152.0,SOFT,1.0,True,False,1,117.347,53.317,21.455,42.575,,5014.339
HAD,6,Red Bull Racing,13.0,250.0,277.0,307.0,303.0,SOFT,2.0,True,True,1,80.137,28.097,17.725,34.315,,
HAD,6,Red Bull Racing,14.0,139.0,207.0,4.0,242.0,SOFT,3.0,True,False,1,,47.626,29.229,91.519,,
HAD,6,Red Bull Racing,15.0,264.0,278.0,,246.0,SOFT,4.0,True,False,1,,31.781,18.331,,5454.421,
GAS,10,Alpine,1.0,246.0,275.0,273.0,176.0,HARD,1.0,True,False,1,103.838,41.143,20.609,42.086,,1620.236
GAS,10,Alpine,2.0,265.0,275.0,290.0,289.0,HARD,2.0,True,True,1,83.473,29.52,17.934,36.019,,
GAS,10,Alpine,3.0,232.0,274.0,278.0,238.0,HARD,3.0,True,False,1,106.504,39.122,23.223,44.159,,
GAS,10,Alpine,4.0,272.0,270.0,298.0,295.0,HARD,4.0,True,True,1,82.663,29.049,17.909,35.705,,
GAS,10,Alpine,5.0,135.0,265.0,208.0,178.0,HARD,5.0,True,False,12,141.191,54.088,30.931,56.172,,
GAS,10,Alpine,6.0,248.0,243.0,232.0,189.0,HARD,6.0,True,False,26,115.499,37.326,26.248,51.925,,
GAS,10,Alpine,7.0,197.0,271.0,209.0,244.0,HARD,7.0,True,False,6,117.575,36.816,25.484,55.275,,
GAS,10,Alpine,8.0,,,,245.0,HARD,8.0,True,False,6512,,,,,2487.205,
GAS,10,Alpine,9.0,162.0,297.0,276.0,192.0,HARD,9.0,False,False,1,134.603,73.026,20.214,41.363,,2952.303
GAS,10,Alpine,10.0,264.0,277.0,286.0,262.0,HARD,10.0,False,False,1,86.532,30.537,18.385,37.61,,
GAS,10,Alpine,11.0,234.0,284.0,271.0,266.0,HARD,11.0,False,False,1,100.613,34.708,20.255,45.65,,
GAS,10,Alpine,12.0,271.0,273.0,285.0,291.0,HARD,12.0,False,False,1,83.046,29.259,17.919,35.868,,
GAS,10,Alpine,13.0,244.0,273.0,279.0,281.0,HARD,13.0,False,False,1,86.225,30.421,18.617,37.187,,
GAS,10,Alpine,14.0,270.0,272.0,282.0,265.0,HARD,14.0,False,False,1,84.539,29.717,18.119,36.703,,
GAS,10,Alpine,15.0,254.0,276.0,294.0,258.0,HARD,15.0,False,False,12,87.327,32.288,18.541,36.498,,
GAS,10,Alpine,16.0,255.0,286.0,301.0,282.0,HARD,16.0,False,False,1,84.437,29.266,17.954,37.217,,
GAS,10,Alpine,17.0,256.0,290.0,295.0,293.0,HARD,17.0,False,False,1,83.782,29.282,17.924,36.576,,
GAS,10,Alpine,18.0,252.0,301.0,293.0,290.0,HARD,18.0,False,False,1,83.528,29.542,17.79,36.196,,
GAS,10,Alpine,19.0,256.0,292.0,,285.0,HARD,19.0,False,False,1,103.895,29.502,18.044,56.349,3948.228,
GAS,10,Alpine,20.0,252.0,283.0,,232.0,HARD,20.0,False,False,1,,35.388,19.756,,4060.799,3969.603
GAS,10,Alpine,21.0,,,,154.0,SOFT,1.0,True,False,125,,,,,4520.042,4367.262
GAS,10,Alpine,22.0,243.0,281.0,280.0,120.0,SOFT,2.0,False,False,1,129.561,65.361,20.214,43.986,,4947.662
GAS,10,Alpine,23.0,274.0,300.0,315.0,298.0,SOFT,3.0,False,True,1,81.071,28.456,17.75,34.865,,
GAS,10,Alpine,24.0,226.0,220.0,284.0,197.0,SOFT,4.0,False,False,1,113.044,43.657,23.14,46.247,,
GAS,10,Alpine,25.0,199.0,218.0,153.0,299.0,SOFT,5.0,False,False,1,147.958,31.095,23.518,93.345,,
GAS,10,Alpine,26.0,253.0,300.0,,252.0,SOFT,6.0,False,False,1,,32.633,18.03,,5497.437,
PER,11,Cadillac,1.0,228.0,247.0,283.0,176.0,MEDIUM,1.0,True,False,1,107.154,42.371,21.693,43.09,,1583.776
PER,11,Cadillac,2.0,251.0,292.0,293.0,272.0,MEDIUM,2.0,True,True,1,85.722,30.497,18.193,37.032,,
PER,11,Cadillac,3.0,175.0,152.0,285.0,185.0,MEDIUM,3.0,True,False,1,130.03,45.499,35.984,48.547,,
PER,11,Cadillac,4.0,264.0,285.0,298.0,292.0,MEDIUM,4.0,True,True,1,84.397,29.862,18.168,36.367,,
PER,11,Cadillac,5.0,216.0,198.0,,228.0,MEDIUM,5.0,True,False,1265,,46.284,25.055,,2109.238,
PER,11,Cadillac,6.0,227.0,282.0,301.0,45.0,MEDIUM,6.0,False,False,1,,87.896,19.755,42.76,,2904.144
PER,11,Cadillac,7.0,252.0,293.0,293.0,267.0,MEDIUM,7.0,False,False,1,87.702,31.312,18.418,37.972,,
PER,11,Cadillac,8.0,269.0,292.0,275.0,268.0,MEDIUM,8.0,False,False,1,86.575,30.404,18.292,37.879,,
PER,11,Cadillac,9.0,264.0,291.0,284.0,277.0,MEDIUM,9.0,False,False,1,86.259,30.476,18.22,37.563,,
PER,11,Cadillac,10.0,266.0,284.0,282.0,285.0,MEDIUM,10.0,False,False,1,86.335,30.374,18.393,37.568,,
PER,11,Cadillac,11.0,261.0,297.0,286.0,285.0,MEDIUM,11.0,False,False,1,86.565,30.515,18.15,37.9,,
PER,11,Cadillac,12.0,263.0,291.0,287.0,270.0,MEDIUM,12.0,False,False,12,86.378,30.519,18.38,37.479,,
PER,11,Cadillac,13.0,258.0,289.0,292.0,276.0,MEDIUM,13.0,False,False,1,86.129,30.399,18.29,37.44,,
PER,11,Cadillac,14.0,260.0,291.0,293.0,291.0,MEDIUM,14.0,False,False,1,85.54,30.056,18.217,37.267,,
PER,11,Cadillac,15.0,262.0,291.0,296.0,290.0,MEDIUM,15.0,False,False,1,86.181,30.365,18.304,37.512,,
PER,11,Cadillac,16.0,264.0,304.0,271.0,285.0,MEDIUM,16.0,False,False,1,86.24,30.409,18.325,37.506,,
PER,11,Cadillac,17.0,147.0,236.0,,206.0,MEDIUM,17.0,False,False,125,,39.467,23.518,,4020.389,
PER,11,Cadillac,18.0,230.0,256.0,284.0,77.0,SOFT,1.0,True,False,1,135.041,62.3,21.27,51.471,,5031.7
PER,11,Cadillac,19.0,225.0,252.0,284.0,301.0,SOFT,2.0,True,False,1,102.572,37.66,20.351,44.561,,
PER,11,Cadillac,20.0,155.0,229.0,167.0,250.0,SOFT,3.0,True,False,1,,32.192,24.388,97.134,,
PER,11,Cadillac,21.0,244.0,279.0,,228.0,SOFT,4.0,True,False,1,,35.386,20.368,,5510.171,
ANT,12,Mercedes,1.0,247.0,279.0,273.0,156.0,SOFT,1.0,True,False,12,133.092,68.62,19.972,44.5,,2011.171
ANT,12,Mercedes,2.0,262.0,236.0,206.0,283.0,SOFT,2.0,True,True,26,107.429,28.34,17.523,61.566,,
ANT,12,Mercedes,3.0,193.0,237.0,176.0,227.0,SOFT,3.0,True,False,6,115.667,39.549,23.798,52.32,,
ANT,12,Mercedes,4.0,,,,178.0,SOFT,4.0,True,False,6512,,,,,2483.205,
ANT,12,Mercedes,5.0,250.0,260.0,265.0,168.0,SOFT,5.0,False,False,1,126.752,57.818,20.18,48.754,,2858.829
ANT,12,Mercedes,6.0,259.0,283.0,299.0,286.0,SOFT,6.0,False,True,1,80.324,28.23,17.582,34.512,,
ANT,12,Mercedes,7.0,236.0,252.0,,212.0,SOFT,7.0,False,False,1,120.967,36.259,21.544,63.164,3158.37,
ANT,12,Mercedes,8.0,259.0,177.0,288.0,217.0,SOFT,8.0,False,False,1,117.27,61.347,18.581,37.342,,3183.26
ANT,12,Mercedes,9.0,257.0,270.0,291.0,272.0,SOFT,9.0,False,False,1,81.911,28.533,17.977,35.401,,
ANT,12,Mercedes,10.0,244.0,303.0,286.0,273.0,SOFT,10.0,False,False,1,82.126,28.691,17.942,35.493,,
ANT,12,Mercedes,11.0,250.0,298.0,300.0,271.0,SOFT,11.0,False,False,12,81.732,28.657,17.859,35.216,,
ANT,12,Mercedes,12.0,256.0,302.0,298.0,286.0,SOFT,12.0,False,False,21,81.268,28.396,17.76,35.112,,
ANT,12,Mercedes,13.0,251.0,296.0,292.0,292.0,SOFT,13.0,False,False,1,81.13,28.302,17.74,35.088,,
ANT,12,Mercedes,14.0,249.0,296.0,298.0,287.0,SOFT,14.0,False,False,1,81.17,28.497,17.719,34.954,,
ANT,12,Mercedes,15.0,249.0,296.0,303.0,290.0,SOFT,15.0,False,False,1,80.884,28.377,17.67,34.837,,
ANT,12,Mercedes,16.0,254.0,268.0,,241.0,SOFT,16.0,False,False,1,,31.403,19.474,,3953.447,
ANT,12,Mercedes,17.0,243.0,244.0,274.0,196.0,SOFT,1.0,True,False,1,98.493,38.476,20.137,39.88,,4265.46
ANT,12,Mercedes,18.0,,,,291.0,SOFT,2.0,True,False,125,,,,,4841.993,
ALO,14,Aston Martin,1.0,241.0,258.0,264.0,161.0,MEDIUM,1.0,True,False,1,103.389,40.33,21.553,41.506,,1632.252
ALO,14,Aston Martin,2.0,246.0,271.0,293.0,294.0,MEDIUM,2.0,True,True,1,86.04,30.566,18.763,36.711,,
ALO,14,Aston Martin,3.0,242.0,273.0,275.0,148.0,MEDIUM,3.0,True,False,1,101.774,38.174,21.138,42.462,,
ALO,14,Aston Martin,4.0,262.0,274.0,286.0,293.0,MEDIUM,4.0,True,True,1,84.101,29.731,18.233,36.137,,
ALO,14,Aston Martin,5.0,219.0,268.0,,220.0,MEDIUM,5.0,True,False,126,,33.766,20.937,,2106.441,
ALO,14,Aston Martin,6.0,,,,164.0,MEDIUM,6.0,False,False,6512,,,,,2471.345,2346.333
ALO,14,Aston Martin,7.0,247.0,196.0,271.0,45.0,SOFT,1.0,True,False,1,122.162,53.721,21.026,47.415,,2926.229
ALO,14,Aston Martin,8.0,252.0,271.0,276.0,291.0,SOFT,2.0,True,True,1,83.717,29.507,18.317,35.893,,
ALO,14,Aston Martin,9.0,245.0,178.0,272.0,262.0,SOFT,3.0,True,False,1,103.393,35.049,20.831,47.513,,
ALO,14,Aston Martin,10.0,253.0,272.0,274.0,294.0,SOFT,4.0,True,True,1,82.972,29.272,18.176,35.524,,
ALO,14,Aston Martin,11.0,233.0,268.0,,229.0,SOFT,5.0,True,False,12,,33.927,20.438,,3412.193,
ALO,14,Aston Martin,12.0,241.0,268.0,270.0,183.0,SOFT,6.0,False,False,1,107.836,47.016,21.058,39.762,,3646.283
ALO,14,Aston Martin,13.0,247.0,266.0,284.0,291.0,SOFT,7.0,False,False,1,83.054,29.285,18.185,35.584,,
ALO,14,Aston Martin,14.0,171.0,278.0,268.0,250.0,SOFT,8.0,False,False,1,101.289,37.197,20.895,43.197,,
ALO,14,Aston Martin,15.0,250.0,266.0,289.0,294.0,SOFT,9.0,False,True,1,82.837,29.259,18.248,35.33,,
ALO,14,Aston Martin,16.0,229.0,275.0,,218.0,SOFT,10.0,False,False,125,,32.769,20.226,,4112.06,
ALO,14,Aston Martin,17.0,242.0,251.0,275.0,98.0,SOFT,1.0,True,False,1,117.097,49.66,20.876,46.561,,5023.644
ALO,14,Aston Martin,18.0,240.0,270.0,292.0,298.0,SOFT,2.0,True,True,1,82.72,29.185,18.179,35.356,,
ALO,14,Aston Martin,19.0,177.0,199.0,157.0,214.0,SOFT,3.0,True,False,1,,41.113,27.524,,,
ALO,14,Aston Martin,20.0,211.0,259.0,,211.0,SOFT,4.0,True,False,1,,35.003,21.071,,5487.405,
LEC,16,Ferrari,1.0,230.0,305.0,226.0,186.0,SOFT,1.0,True,False,12,114.579,40.945,21.264,52.37,,2013.392
LEC,16,Ferrari,2.0,225.0,262.0,271.0,169.0,SOFT,2.0,True,True,26,114.611,36.909,21.54,56.162,,
LEC,16,Ferrari,3.0,226.0,267.0,203.0,235.0,SOFT,3.0,True,True,6,112.015,37.149,23.381,51.485,,
LEC,16,Ferrari,4.0,,,,157.0,SOFT,4.0,True,False,6512,,,,,2473.439,
LEC,16,Ferrari,5.0,244.0,252.0,278.0,100.0,SOFT,5.0,False,False,1,,,20.938,38.886,,2849.147
LEC,16,Ferrari,6.0,261.0,287.0,308.0,291.0,SOFT,6.0,False,True,1,80.979,28.448,17.929,34.602,,
LEC,16,Ferrari,7.0,161.0,194.0,280.0,247.0,SOFT,7.0,False,False,1,113.168,41.739,23.033,48.396,,
LEC,16,Ferrari,8.0,263.0,292.0,304.0,288.0,SOFT,8.0,False,True,1,80.271,28.174,17.592,34.505,,
LEC,16,Ferrari,9.0,160.0,121.0,,252.0,SOFT,9.0,False,False,1,146.044,42.256,32.919,70.869,3349.084,
LEC,16,Ferrari,10.0,248.0,278.0,280.0,165.0,SOFT,10.0,False,False,1,134.903,56.697,20.154,58.052,,3378.05
LEC,16,Ferrari,11.0,222.0,281.0,281.0,294.0,SOFT,11.0,False,False,12,99.546,30.965,21.16,47.421,,
LEC,16,Ferrari,12.0,263.0,290.0,304.0,289.0,SOFT,12.0,False,True,1,79.827,27.915,17.54,34.372,,
LEC,16,Ferrari,13.0,162.0,157.0,285.0,253.0,SOFT,13.0,False,False,1,107.101,36.416,25.565,45.12,,
LEC,16,Ferrari,14.0,270.0,286.0,304.0,294.0,SOFT,14.0,False,False,1,79.869,27.786,17.626,34.457,,
LEC,16,Ferrari,15.0,249.0,276.0,,255.0,SOFT,15.0,False,False,125,,31.087,20.058,,3965.166,
LEC,16,Ferrari,16.0,225.0,269.0,282.0,93.0,SOFT,1.0,True,False,1,,,22.207,40.082,,4931.302
LEC,16,Ferrari,17.0,262.0,293.0,305.0,294.0,SOFT,2.0,True,False,1,79.935,28.111,17.615,34.209,,
LEC,16,Ferrari,18.0,244.0,297.0,283.0,281.0,SOFT,3.0,True,False,1,106.341,34.304,23.516,48.521,,
LEC,16,Ferrari,19.0,224.0,214.0,178.0,293.0,SOFT,4.0,True,False,1,,33.206,22.319,,,
LEC,16,Ferrari,20.0,251.0,298.0,,243.0,SOFT,5.0,True,False,1,,31.614,18.519,,5489.78,
ALB,23,Williams,1.0,235.0,253.0,282.0,110.0,MEDIUM,1.0,True,False,1,125.203,61.956,21.378,41.869,,2900.862
ALB,23,Williams,2.0,250.0,290.0,293.0,276.0,MEDIUM,2.0,True,True,1,83.46,29.737,18.226,35.497,,
ALB,23,Williams,3.0,188.0,279.0,293.0,208.0,MEDIUM,3.0,True,False,1,110.644,40.677,22.397,47.57,,
ALB,23,Williams,4.0,250.0,297.0,284.0,288.0,MEDIUM,4.0,True,True,1,82.589,28.999,18.064,35.526,,
ALB,23,Williams,5.0,186.0,280.0,281.0,217.0,MEDIUM,5.0,True,False,1,107.841,42.654,23.241,41.946,,
ALB,23,Williams,6.0,266.0,285.0,294.0,286.0,MEDIUM,6.0,True,True,1,81.942,28.897,17.896,35.149,,
ALB,23,Williams,7.0,208.0,109.0,283.0,272.0,MEDIUM,7.0,True,False,12,,85.15,23.527,45.036,,
ALB,23,Williams,8.0,248.0,294.0,288.0,296.0,MEDIUM,8.0,True,False,1,81.949,28.875,17.8,35.274,,
ALB,23,Williams,9.0,151.0,188.0,286.0,267.0,MEDIUM,9.0,True,False,1,110.045,42.194,28.068,39.783,,
ALB,23,Williams,10.0,176.0,274.0,282.0,283.0,MEDIUM,10.0,True,False,1,101.257,35.726,21.87,43.661,,
ALB,23,Williams,11.0,249.0,291.0,289.0,281.0,MEDIUM,11.0,True,False,1,82.309,28.901,18.002,35.406,,
ALB,23,Williams,12.0,210.0,255.0,,275.0,MEDIUM,12.0,True,False,125,,33.607,23.042,,4100.627,
